Cantidad de Procesos,Nombre,Hora de Inicio,Hora de Fin,Tiempo Total
50,Proceso(1),0,77.74563062241019,77.74563062241019
50,Proceso(2),5.022844892191439,77.74563062241019,72.72278573021875
50,Proceso(3),5.027555086375527,77.74563062241019,72.71807553603466
50,Proceso(4),5.027555086375527,31.779853690936697,26.75229860456117
50,Proceso(5),7.101578070267598,77.74563062241019,70.6440525521426
50,Proceso(6),7.53177861794891,144.02320971975078,136.49143110180188
50,Proceso(7),9.930141759865888,9.930141759865888,0.0
50,Proceso(8),9.930141759865888,58.15254461358943,48.22240285372354
50,Proceso(9),9.930141759865888,9.930141759865888,0.0
50,Proceso(10),9.930141759865888,9.930141759865888,0.0
50,Proceso(11),9.930141759865888,91.56806088459629,81.6379191247304
50,Proceso(12),9.930141759865888,159.72786935262369,149.7977275927578
50,Proceso(13),9.930141759865888,159.72786935262369,149.7977275927578
50,Proceso(14),10.8745362524493,95.1813201723756,84.3067839199263
50,Proceso(15),11.030842224888087,11.030842224888087,0.0
50,Proceso(16),11.030842224888087,76.39430188601948,65.36345966113139
50,Proceso(17),11.030842224888087,233.23127398926943,222.20043176438134
50,Proceso(18),11.030842224888087,96.14854529817565,85.11770307328756
50,Proceso(19),58.15254461358943,144.02320971975078,85.87066510616135
50,Proceso(20),69.76723497465527,91.56806088459629,21.800825909941025
50,Proceso(21),75.23966289500666,91.56806088459629,16.328397989589632
50,Proceso(22),76.39430188601948,159.72786935262369,83.33356746660421
50,Proceso(23),77.74563062241019,77.74563062241019,0.0
50,Proceso(24),95.1813201723756,159.72786935262369,64.54654918024808
50,Proceso(25),96.14854529817565,347.49995425694345,251.35140895876782
50,Proceso(26),118.30713727958076,239.26599814666133,120.95886086708057
50,Proceso(27),118.30713727958076,239.26599814666133,120.95886086708057
50,Proceso(28),144.02320971975078,239.26599814666133,95.24278842691055
50,Proceso(29),144.02320971975078,144.02320971975078,0.0
50,Proceso(30),144.02320971975078,144.02320971975078,0.0
50,Proceso(31),144.02320971975078,144.02320971975078,0.0
50,Proceso(32),144.02320971975078,347.49995425694345,203.47674453719267
50,Proceso(33),144.02320971975078,144.02320971975078,0.0
50,Proceso(34),144.02320971975078,287.07299656343775,143.04978684368697
50,Proceso(35),153.1455173175276,153.1455173175276,0.0
50,Proceso(36),153.1455173175276,358.5265829334828,205.3810656159552
50,Proceso(37),159.72786935262369,358.5265829334828,198.79871358085913
50,Proceso(38),159.72786935262369,396.64228159232016,236.91441223969647
50,Proceso(39),233.23127398926943,347.49995425694345,114.26868026767403
50,Proceso(40),239.26599814666133,239.26599814666133,0.0
50,Proceso(41),239.26599814666133,347.49995425694345,108.23395611028212
50,Proceso(42),255.02925421248955,396.64228159232016,141.6130273798306
50,Proceso(43),255.02925421248955,255.02925421248955,0.0
50,Proceso(44),255.02925421248955,255.02925421248955,0.0
50,Proceso(45),266.5857151905107,266.5857151905107,0.0
50,Proceso(46),266.5857151905107,396.64228159232016,130.05656640180945
50,Proceso(47),287.07299656343775,396.64228159232016,109.5692850288824
50,Proceso(48),287.07299656343775,396.64228159232016,109.5692850288824
50,Proceso(49),287.07299656343775,358.5265829334828,71.45358637004506
50,Proceso(50),297.41030522469816,396.64228159232016,99.231976367622
