Cantidad de Procesos,Nombre,Hora de Inicio,Hora de Fin,Tiempo Total
25,Proceso(1),0,185.38958299906102,185.38958299906102
25,Proceso(2),0,185.38958299906102,185.38958299906102
25,Proceso(3),7.192543078867284,185.38958299906102,178.19703992019373
25,Proceso(4),7.920653517109961,115.4707027444865,107.55004922737655
25,Proceso(5),13.035575391119933,185.38958299906102,172.3540076079411
25,Proceso(6),13.035575391119933,186.4902834640832,173.45470807296329
25,Proceso(7),44.746528359841015,44.746528359841015,0.0
25,Proceso(8),44.746528359841015,175.04827289885395,130.30174453901293
25,Proceso(9),47.14817526582825,47.14817526582825,0.0
25,Proceso(10),47.14817526582825,47.14817526582825,0.0
25,Proceso(11),47.14817526582825,186.33397749164442,139.18580222581616
25,Proceso(12),53.49671791785586,186.4902834640832,132.99356554622733
25,Proceso(13),53.49671791785586,186.4902834640832,132.99356554622733
25,Proceso(14),61.84939709993709,186.4902834640832,124.64088636414611
25,Proceso(15),76.92321424063225,76.92321424063225,0.0
25,Proceso(16),76.92321424063225,182.99121985714405,106.0680056165118
25,Proceso(17),76.92321424063225,186.4902834640832,109.56706922345096
25,Proceso(18),80.65139729375944,186.4902834640832,105.83888617032376
25,Proceso(19),132.86183614510233,186.4902834640832,53.628447318980875
25,Proceso(20),175.04827289885395,185.38958299906102,10.341310100207068
25,Proceso(21),180.48228613138656,185.38958299906102,4.907296867674461
25,Proceso(22),180.48228613138656,186.4902834640832,6.007997332696647
25,Proceso(23),185.38958299906102,185.38958299906102,0.0
25,Proceso(24),186.4902834640832,186.4902834640832,0.0
25,Proceso(25),186.4902834640832,190.2126849924067,3.722401528323502
